x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
3400,0.000597023,0.0006124430332972029,4.749654997731191e-07,1.350348472289561e-32,8.068624034313066e-08,7.40880659526881e-23,0.00026152094689178943,0.00035074427595383834
3395,0.000640807,0.0006046188087964857,4.841736983287044e-07,1.376400330673506e-32,8.247581057900387e-08,7.579947823003242e-23,0.00026965909924064045,0.0003347709013354786
3390,0.000532112,0.0005976191300634438,4.936522100791544e-07,1.403211548150702e-32,8.4325464678133e-08,7.757086170745543e-23,0.0002780878097264247,0.00031933118395080295
3385,0.000560958,0.000591518840599043,5.034117163346268e-07,1.4308118495833574e-32,8.623791716555885e-08,7.940505047517017e-23,0.0002868339833772406,0.00030447304887684337
3380,0.000592774,0.000586379302091043,5.13463431072138e-07,1.4592324247898835e-32,8.82160372858035e-08,8.130504797660681e-23,0.00029592780878065,0.00029022765513057603
3375,0.000579232,0.0005822514351939908,5.238191331218165e-07,1.4885060158067768e-32,9.026285968349027e-08,8.327403929437489e-23,0.00030540297835628696,0.0002766122161334396
3370,0.000530837,0.0005791784721146338,5.344912006444131e-07,1.5186670102581072e-32,9.238159595217257e-08,8.531540448838955e-23,0.0003152968582267092,0.0002636325823798691
3365,0.000555485,0.0005771983394953746,5.454926480883208e-07,1.5497515413246448e-32,9.457564713278214e-08,8.74327330903738e-23,0.00032565057309634737,0.00025128553939234727
3360,0.000520702,0.0005763456070241116,5.568371658319401e-07,1.5817975948495594e-32,9.684861725177461e-08,8.962983987070263e-23,0.00033650895758815467,0.00023956080494141424
3355,0.000541158,0.0005766529399570898,5.685391627366347e-07,1.6148451241671154e-32,9.920432799875481e-08,9.191078200679687e-23,0.0003479203070175391,0.0002284427307373564
3350,0.000548484,0.0005781519832668706,5.806138118569995e-07,1.6489361732953933e-32,1.0164683465423848e-07,9.427987779722031e-23,0.0003599358366332219,0.0002179117272756787
3345,0.000592128,0.0005808735824774665,5.930770995789335e-07,1.6841150091943344e-32,1.0418044339041235e-07,9.674172708252306e-23,0.00037260872810295116,0.00020794543812008715
3340,0.000643255,0.0005848472127719292,6.059458784823488e-07,1.7204282638570587e-32,1.0680973008147004e-07,9.930123355298993e-23,0.0003859926051648956,0.00019851969328701084
3335,0.000621299,0.0005900994458843857,6.192379242545705e-07,1.7579250870760872e-32,1.0953956077553266e-07,1.0196362914512279e-22,0.0004001392377826982,0.00018960927190519853
3330,0.000589009,0.0005966512378338101,6.329719970129358e-07,1.7966573108077558e-32,1.1237511399755251e-07,1.0473450075328984e-22,0.0004150952290050057,0.000181188503006335
3325,0.00062714,0.0006045137776697255,6.471679074311771e-07,1.8366796261485705e-32,1.1532190507221818e-07,1.0761981951095471e-22,0.0004308973982187889,0.00017323173092697423
3320,0.000705076,0.0006136826122434491,6.618465881043347e-07,1.878049774037679e-32,1.1838581267804923e-07,1.106259729277726e-22,0.0004475665522212022,0.00016571366891000568
3315,0.000567961,0.0006241297780466123,6.770301706316904e-07,1.92082875091117e-32,1.2157310786895727e-07,1.1375980020521078e-22,0.00046509935460765017,0.00015860966144900262
3310,0.000648838,0.0006357937640973707,6.92742068947139e-07,1.9650810306579378e-32,1.2489048582798203e-07,1.1702863109492723e-22,0.000483458099879445,0.00015189587295169163
3305,0.000631425,0.0006485673487767283,7.090070694821791e-07,2.010874804364939e-32,1.2834510065018264e-07,1.2044032871175108e-22,0.0005025584203508778,0.00014554941754425926
3300,0.000661371,0.0006622837564072484,7.258514288090633e-07,2.058282239493554e-32,1.3194460348835404e-07,1.2400333676773308e-22,0.000522255359298528,0.00013954844236496405
3295,0.000701101,0.0006767022173956191,7.433029794814861e-07,2.1073797603004616e-32,1.356971844370096e-07,1.2772673175652335e-22,0.0005423288839918829,0.0001338721745283588
3290,0.000668024,0.0006914948993873404,7.613912448684851e-07,2.1582483515082328e-32,1.3961161857772053e-07,1.316202806896501e-22,0.000562470797734894,0.00012850094007754126
3285,0.000703588,0.0007062382202758581,7.80147563865134e-07,2.2109738874453532e-32,1.436973166633309e-07,1.3569450506973082e-22,0.000582276055021657,0.0001234161616622137
3280,0.000693664,0.0007204125074248776,7.996052264624306e-07,2.2656474891155387e-32,1.4796438098086578e-07,1.3996075188216325e-22,0.0006012424387484835,0.00011860034035749189
3275,0.000740673,0.0007334143747903738,8.197996212700365e-07,2.322365911925487e-32,1.5242366700436285e-07,1.4443127249869776e-22,0.000618782966849075,0.0001140370259415655
3270,0.000771458,0.0007445854396275927,8.407683962109478e-07,2.3812319671024217e-32,1.5708685153088735e-07,1.4911931051620875e-22,0.0006342546466198578,0.00010971077904853409
3265,0.000748108,0.000753258552548971,8.625516337487723e-07,2.442354980172484e-32,1.6196650808737357e-07,1.5403919970522067e-22,0.0006470047478188801,0.00010560712787679587
3260,0.000778772,0.0007588185075444045,8.851920421683938e-07,2.5058512902533213e-32,1.6707619050474932e-07,1.5920647341920944e-22,0.000656431559063545,0.00010171252153672738
3255,0.000719012,0.0007607690756688087,9.087351646121058e-07,2.571844794345003e-32,1.7243052568149575e-07,1.6463798702210538e-22,0.0006620514696264114,9.80142816406447e-05
3250,0.000752148,0.0007587939937119977,9.332296077789089e-07,2.6404675412895253e-32,1.7804531670427733e-07,1.7035205513343687e-22,0.0006635600067231373,9.450055335291824e-05
3245,0.00072132,0.0007527984294021957,9.587272924282522e-07,2.7118603806185125e-32,1.8393765766201818e-07,1.7636860577505678e-22,0.0006608733489292723,9.116025681137425e-05
3240,0.000775867,0.0007429207688036093,9.852837280952634e-07,2.786173672130278e-32,1.9012606168592172e-07,1.8270935383872106e-22,0.0006541401607141416,8.798303958822755e-05
3235,0.000820241,0.0007295117004284007,1.0129583147274275e-06,2.8635680627419237e-32,1.9663060397638104e-07,1.893979966901099e-22,0.0006437207221305892,8.495923066764878e-05
3230,0.000664719,0.0007130858946859112,1.0418146742985014e-06,2.944215337961584e-32,2.0347308184441936e-07,1.964604351946045e-22,0.0006301386519506437,8.207979626766567e-05
3225,0.000714425,0.000694257826227491,1.0719210158510013e-06,3.028299356234682e-32,2.1067719410735827e-07,2.0392502400848957e-22,0.0006140167715878705,7.933629771820321e-05
3220,0.000690481,0.0006736753268146733,1.1033505378718107e-06,3.11601707545254e-32,2.1826874254440014e-07,2.118228556449638e-22,0.0005960106973048312,7.672085151796695e-05
3215,0.000666915,0.0006519622742368466,1.1361818724257235e-06,3.207579682091203e-32,2.2627585854810602e-07,2.2018808362054143e-22,0.0005767515661693152,7.422609162509858e-05
3210,0.000584859,0.0006296771285206864,1.1704995760701373e-06,3.3032138347953766e-32,2.3472925861488564e-07,2.2905829094278067e-22,0.0005568046069888801,7.18451339856624e-05
3205,0.000553178,0.0006072890153937686,1.2063946732637079e-06,3.4031630357632505e-32,2.43662532916858e-07,2.3847491135044486e-22,0.0005366452562096446,6.957154326648441e-05
3200,0.000557972,0.000585169306418842,1.2439652587781093e-06,3.5076891450535763e-32,2.5311247190736434e-07,2.4848371210674805e-22,0.0005166507682449028,6.739930173179487e-05
3195,0.00053289,0.0005635947127629545,1.2833171665435473e-06,3.6170740549629135e-32,2.6311943675573186e-07,2.5913534883114986e-22,0.0004971033372639759,6.532278018422039e-05
3190,0.000512569,0.0005427575509901307,1.3245647134273008e-06,3.731621543951064e-32,2.737277804114422e-07,2.7048600490567106e-22,0.0004782003889067335,6.333671087809957e-05
3185,0.000536827,0.0005227794594364727,1.3678315276865788e-06,3.851659332276769e-32,2.849863272978753e-07,2.8259813049702385e-22,0.00046006832056463744,6.143616230539192e-05
3180,0.000517016,0.0005037258610732019,1.4132514732837672e-06,3.977541364603016e-32,2.9694892107352084e-07,2.9554129930930806e-22,0.0004427769862169275,5.961651575045816e-05
3175,0.00051046,0.00048561948572616324,1.4609696829414534e-06,4.1096503484121817e-32,3.096750516262139e-07,3.093932049684131e-22,0.0004263532387713458,5.787344350879087e-05
3170,0.000500792,0.00046845208412045247,1.5111437147918816e-06,4.2484005812191784e-32,3.2323057454846917e-07,3.2424082362450576e-22,0.0004107926624540051,5.6202888665648096e-05
3165,0.000475762,0.00045219403651753666,1.563944849795565e-06,4.3942411043847084e-32,3.3768853886016915e-07,3.4018177518310214e-22,0.0003960691980844996,5.460104633292243e-05
3160,0.000403684,0.0004368019063546592,1.6195595498331302e-06,4.547659226929038e-32,3.531301417997781e-07,3.5732592284976784e-22,0.00038214271170554473,5.306434624602266e-05
3155,0.000395663,0.0004222241698650696,1.6781910995938443e-06,4.7091844692699934e-32,3.6964583322365413e-07,3.7579725980517084e-22,0.0003689647375940806,5.158943662671258e-05
3150,0.000455089,0.0004084054225148735,1.7400614591921153e-06,4.879392984425975e-32,3.8733659669449567e-07,3.957361433501579e-22,0.0003564826965250507,5.017316922247724e-05
3145,0.000429313,0.00039528936750952894,1.8054133589598532e-06,5.058912523137662e-32,4.063154399060845e-07,4.173019514805698e-22,0.0003446428945613328,4.881258543787129e-05
3140,0.000447504,0.00038282086236076756,1.8745126732357756e-06,5.248428019813497e-32,4.2670913393786825e-07,4.406762555075133e-22,0.0003333925783638419,4.7504903478293086e-05
3135,0.000391807,0.00037094725666047537,1.9476511163842117e-06,5.448687888486349e-32,4.486602492847834e-07,4.660666262881364e-22,0.0003226812801517369,4.624750643161056e-05
3130,0.000356639,0.0003596192092998432,2.025149311950654e-06,5.660511132434593e-32,4.723295470803544e-07,4.93711222570623e-22,0.00031246164051139733,4.503793121795595e-05
3125,0.0003512,0.00034879113223534213,2.107360295077894e-06,5.884795388196674e-32,4.97898796956657e-07,5.238843501900853e-22,0.0003026898560890999,4.387385834274873e-05
3120,0.000364867,0.00033842137291924317,2.194673519412401e-06,6.122526044911331e-32,5.255741092474725e-07,5.569032335365537e-22,0.00029332586418656713,4.2753102392557265e-05
3115,0.000373339,0.0003284722191387188,2.2875194531597393e-06,6.37478660389741e-32,5.555898896235492e-07,5.931363102131284e-22,0.00028433334786673173,4.167360321774482e-05
3110,0.000310701,0.0003189097877438408,2.3863748652454565e-06,6.642770472976676e-32,5.882135498934698e-07,6.330134521873104e-22,0.0002756796228672958,4.0633417749947125e-05
3105,0.000278112,0.0003097038417017052,2.491768922391478e-06,6.927794470162274e-32,6.237511410920596e-07,6.770386405548997e-22,0.00026733545052047146,3.9630712406291265e-05
3100,0.000256356,0.000300827567121912,2.604290242198438e-06,7.231316114355469e-32,6.625541160376668e-07,7.258057884136109e-22,0.00025927480801633113,3.866375603588588e-05
3095,0.00028024,0.0002922573324591109,2.724595077139876e-06,7.555018723485531e-32,7.050274807802172e-07,7.800186346821726e-22,0.0002514746378222363,3.773091336749562e-05
3090,0.000258101,0.00028397244524458356,2.8534168411423656e-06,7.903028685155084e-32,7.516396610561183e-07,8.405159462296489e-22,0.00024391459111046298,3.683063892046323e-05
3085,0.000264928,0.0002759549168091823,2.991577235968216e-06,8.347811928146246e-32,8.029344952780081e-07,9.083037034033257e-22,0.00023657677502260608,3.596147134387112e-05
3080,0.000283826,0.000268189242047766,3.1399992912888265e-06,1.084860910976586e-31,8.595458752612296e-07,9.845965598984554e-22,0.00022944551001810806,3.512202815164894e-05
3075,0.000230106,0.00026066219897019296,3.299722703195821e-06,6.546135697984411e-31,9.222156969990994e-07,1.0708717445147945e-21,0.00022250710103469105,3.4311000823848054e-05
3070,0.000232132,0.0002533626713110882,3.4719219449407924e-06,1.3512390295924376e-29,9.918159655496102e-07,1.1689398356412732e-21,0.00021574962444251153,3.352715024662732e-05
3065,0.000232136,0.00024628149663176685,3.6579277361772107e-06,2.9445592592522902e-28,1.069376132123606e-06,1.2810386841184399e-21,0.00020916273158636634,3.276930246564079e-05
3060,0.000242197,0.00023941134200515437,3.859252599849843e-06,5.952872816455032e-27,1.1561170421216553e-06,1.4099594924807664e-21,0.00020273746892222658,3.2036344729497386e-05
3055,0.000207891,0.00023274660943797468,4.077621418391188e-06,1.1096699967564705e-25,1.2534932571130371e-06,1.55921816717254e-21,0.00019646611424922405,3.1327221801787474e-05
3050,0.000219314,0.00022628337360004974,4.3150081354450715e-06,1.9067591013204394e-24,1.363246000058245e-06,1.733291339289967e-21,0.0001903420282312354,3.0640932521852094e-05
3045,0.000183259,0.00022001935517051695,4.57368005269067e-06,3.020133073626807e-23,1.4874695781487071e-06,1.937946213330922e-21,0.00018435952023220057,2.9976526596018092e-05
3040,0.000198972,0.00021395393416107577,4.856251566264237e-06,4.40944811798965e-22,1.6286948684982311e-06,2.1807088716844374e-21,0.0001785137274124076,2.93331016024468e-05
3035,0.000202273,0.0002080882089170135,5.165749704996548e-06,5.934310680292868e-21,1.7899942885606755e-06,2.471540660288126e-21,0.00017280050601794318,2.870980019405419e-05
3030,0.000198976,0.00020242510806554772,5.505694516362583e-06,7.361803221760651e-20,1.975113532258488e-06,2.8238335475090827e-21,0.0001672163338203019,2.8105807485165754e-05
3025,0.000223081,0.00019696956430258078,5.880198255849697e-06,8.41833130038156e-19,2.1886360142357903e-06,3.255918367512595e-21,0.00016175822271235758,2.7520348608677946e-05
3020,0.000218628,0.00019172876015432518,6.294088556049977e-06,8.873515348217653e-18,2.436185925407743e-06,3.828766720762148e-21,0.0001564236405298822,2.6952686431517488e-05
3015,0.000222423,0.0001867124557621716,6.75306240341923e-06,8.621707392045602e-17,2.724673992762888e-06,5.451362789978358e-20,0.00015121044123731693,2.6402119417127346e-05
3010,0.000187579,0.00018193340530531728,7.263880005845545e-06,7.721803347050465e-16,3.062584274894585e-06,3.756284901949782e-17,0.00014611680268773804,2.5867979624570456e-05
3005,0.000182306,0.0001774078578645167,7.834610743103816e-06,6.374880936938797e-15,3.4602863171395723e-06,1.4997147974061523e-14,0.00014114117123680708,2.5349630834635293e-05
3000,0.000151333,0.00017315611557697865,8.474947721772396e-06,4.851246045322007e-14,3.930326558012743e-06,3.1861306409265378e-12,0.00013628221255703466,2.4846466794056824e-05
