x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5
3795,8.79944e-05,6.294919427481116e-05,5.3952207166850776e-08,5.090757486025042e-09,1.7922578040484238e-07,1.499595207467858e-05,4.0809665166258535e-05
3790,8.59041e-05,6.448732743276934e-05,5.454486860732636e-08,5.1466822770596604e-09,1.8135670229883275e-07,1.529202469426937e-05,4.204894619650043e-05
3785,6.10626e-05,6.609763175726872e-05,5.514734937633378e-08,5.20353369334076e-09,1.8352585352242376e-07,1.5598882364044533e-05,4.3349564367815754e-05
3780,8.48825e-05,6.778554016971036e-05,5.575986759372984e-08,5.261332319462936e-09,1.8573415399676372e-07,1.5917169763052486e-05,4.471630676393158e-05
3775,8.12087e-05,6.955703497783176e-05,5.638264746957041e-08,5.320099314803251e-09,1.8798255147958522e-07,1.6247578579620377e-05,4.615446281113109e-05
3770,0.000116748,7.141870255925585e-05,5.701591950930943e-08,5.379856432888693e-09,1.9027202258210807e-07,1.6590850642246433e-05,4.7669875829668786e-05
3765,0.000104098,7.337779105747198e-05,5.765992072710961e-08,5.4406260415292665e-09,1.9260357382954575e-07,1.694778118047235e-05,4.9268997467585115e-05
3760,7.36817e-05,7.544227065675509e-05,5.831489486763317e-08,5.502431143751516e-09,1.9497824276736536e-07,1.7319222211187684e-05,5.095894458797233e-05
3755,8.81629e-05,7.762089585406818e-05,5.898109263670007e-08,5.565295399569074e-09,1.9739709911557105e-07,1.770608604439446e-05,5.2747558033705557e-05
3750,7.62612e-05,7.992326898303066e-05,5.965877194122171e-08,5.629243148628674e-09,1.9986124597340768e-07,1.8109348900933724e-05,5.464346253221735e-05
3745,6.45753e-05,8.235990406975697e-05,6.034819813883809e-08,5.694299433772113e-09,2.0237182107701808e-07,1.8530054633051725e-05,5.6656126829239284e-05
3740,8.43243e-05,8.494228991580598e-05,6.104964429771007e-08,5.760490025556746e-09,2.0492999811273015e-07,1.896931853696932e-05,5.879592295758433e-05
3735,8.28406e-05,8.76829511135474e-05,6.176339146694152e-08,5.827841447779333e-09,2.0753698808880444e-07,1.9428331244823916e-05,6.107418335890363e-05
3730,9.29099e-05,9.059550550871759e-05,6.248972895813113e-08,5.896381004050441e-09,2.1019404076863396e-07,1.990836268149028e-05,6.350325438768017e-05
3725,0.00010782,9.369471643938433e-05,6.322895463858068e-08,5.966136805469101e-09,2.129024461685647e-07,2.041076606987034e-05,6.609654454308505e-05
3720,0.000121685,9.699653790621625e-05,6.39813752367144e-08,6.0371377994501e-09,2.156635361236852e-07,2.0936981966288357e-05,6.886856560195171e-05
3715,0.000130853,0.000100518150672598,6.474730666029445e-08,6.109413799759103e-09,2.184786859251361e-07,2.1488542305658396e-05,7.18349646717381e-05
3710,0.000114905,0.0001042779871616918,6.552707432804828e-08,6.182995517813762e-09,2.2134931603269522e-07,2.206707443412655e-05,7.501254505287037e-05
3705,0.000131099,0.00010829574291783861,6.632101351535839e-08,6.25791459531221e-09,2.2427689386661995e-07,2.2674305104958493e-05,7.84192737020865e-05
3700,0.000134408,0.00011259237233795976,6.712946971469985e-08,6.334203638253617e-09,2.272629356829671e-07,2.3312064411570634e-05,8.207427302853689e-05
3695,0.000133488,0.00011719006636002951,6.79527990115491e-08,6.411896252419137e-09,2.3030900853686389e-07,2.39822896298233e-05,8.599779473758906e-05
3690,0.000132508,0.0001221122098237371,6.879136847652743e-08,6.491027080385298e-09,2.334167323384755e-07,2.4687028940040427e-05,9.021117346698495e-05
3685,0.00016816,0.00012738331629432272,6.964555657458596e-08,6.571631840145982e-09,2.365877820067054e-07,2.5428444997730136e-05,9.473675803735482e-05
3680,0.000140209,0.00013302893826243068,7.051575359208304e-08,6.653747365423351e-09,2.3982388972597337e-07,2.620881832069388e-05,9.959781826223701e-05
3675,8.13189e-05,0.00013907555079513157,7.140236208265436e-08,6.7374116477526875e-09,2.431268473117485e-07,2.7030550459171355e-05,0.00010481842542610173
3670,0.000105901,0.00014555040690608452,7.230579733282666e-08,6.8226638804309164e-09,2.4649850869086747e-07,2.789616691491822e-05,0.00011042330473244584
3665,0.000144106,0.00015248136312118868,7.322648784838049e-08,6.909544504423708e-09,2.499407925030476e-07,2.880831977470162e-05,0.00011643765823281488
3660,0.00013539,0.0001598966739195554,7.416487586252543e-08,6.9980952563316075e-09,2.5345568483041073e-07,2.976979002367146e-05,0.00012288695695111834
3655,0.000125588,0.00016782475390202556,7.512141786701323e-08,7.088359218521335e-09,2.5704524206226564e-07,3.078348950447479e-05,0.00012979670108958664
3650,8.74155e-05,0.00017629390664886642,7.609658516737955e-08,7.180380871534769e-09,2.607115939028649e-07,3.185246248887504e-05,0.00013719214731123326
3645,0.00019301,0.00018533201923769617,7.70908644635752e-08,7.274206148894561e-09,2.6445694653034746e-07,3.2979886830070056e-05,0.00014509800210166698
3640,0.00021082,0.0001949662212611655,7.810475845732272e-08,7.369882494432526e-09,2.682835859156162e-07,3.416907466592096e-05,0.00015353808007956087
3635,0.000212796,0.00020522250686878546,7.913878648761319e-08,7.467458922274367e-09,2.7219388131046923e-07,3.54234726459608e-05,0.00016253492580728797
