x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
3255,0.000719012,0.0007115171620407114,2.1595962755445474e-09,9.51657967862853e-07,1.929370567094126e-06,2.3472938107540806e-06,1.0262515636853928e-06,0.00047602596226052873,0.00010599205005194968,8.055183103525589e-06
3250,0.000752148,0.0007182845279350487,2.213936075441748e-09,9.774135119392038e-07,1.98357716778768e-06,2.423532026855912e-06,1.062466249660839e-06,0.0004847413830612409,0.00010209162376503898,7.83868914730239e-06
3245,0.00072132,0.0007225382181448914,2.2703520060045346e-09,1.0042288843217321e-06,2.040098420763389e-06,2.503544973301834e-06,1.1006314033648209e-06,0.0004913439482423423,9.836757336897069e-05,7.630579487969298e-06
3240,0.000775867,0.0007240244608295688,2.3289511433322512e-09,1.0321630376230775e-06,2.099067872280503e-06,2.5875859692993667e-06,1.1408895830506485e-06,0.0004956479122199023,9.481228583547585e-05,7.430438662737135e-06
3235,0.000820241,0.00072257257466053,2.3898475533567746e-09,1.0612790809500896e-06,2.1606288304023075e-06,2.6759299417202043e-06,1.183396607169431e-06,0.0004975280894476977,9.141823445399978e-05,7.237875846914311e-06
3230,0.000664719,0.0007181060178827107,2.453162846358236e-09,1.0916446365716835e-06,2.224935232999904e-06,2.7688756746592033e-06,1.2283230617426955e-06,0.0004969287646974345,8.817803318753197e-05,7.0525231822213435e-06
3225,0.000714425,0.0007106469470760479,2.519026783464273e-09,1.1233322328081848e-06,2.2921526070499745e-06,2.8667483369823156e-06,1.2758560113980292e-06,0.000493867765950351,8.508447844358058e-05,6.874034230366828e-06
3220,0.000690481,0.0007003136432730041,2.5875779407749076e-09,1.1564197374076411e-06,2.3624591303542974e-06,2.9699023278186224e-06,1.3262009461169527e-06,0.0004884351540077785,8.213058034594203e-05,6.702082541859998e-06
3215,0.000666915,0.0006873111203406215,2.6589644374530567e-09,1.1909908362480935e-06,2.4360468083563387e-06,3.078724486528646e-06,1.3795840015284865e-06,0.00048078670568513373,7.930958530978954e-05,6.536360330857766e-06
3210,0.000584859,0.0006719161247554866,2.733344734915948e-09,1.2271355628652278e-06,2.51312278052042e-06,3.1936377214830635e-06,1.436254497549136e-06,0.0004711330526385503,7.661499146636304e-05,6.376577247602258e-06
3205,0.000553178,0.0006544583832410737,2.8108885151703e-09,1.2649508850669772e-06,2.5939107728140617e-06,3.3151051212686565e-06,1.4964878485916914e-06,0.0004597258443356846,7.404055825494542e-05,6.222459240702512e-06
3200,0.000557972,0.0006353002436146588,2.8917776473716516e-09,1.304541355777986e-06,2.678652715245017e-06,3.4436346230166568e-06,1.5605889087823024e-06,0.00044684254306204333,7.158031129823073e-05,6.073747502154985e-06
3195,0.00053289,0.0006148167707393388,2.9762072528766396e-09,1.3460198362781473e-06,2.7676105462114617e-06,3.5797843258120964e-06,1.6288958280675846e-06,0.0004327714161452036,6.922854350114284e-05,5.930197488585859e-06
3190,0.000512569,0.0005933779778919743,3.064386880420667e-09,1.3895083011856325e-06,2.861068228700071e-06,3.7241685530749256e-06,1.701784510305577e-06,0.0004177980181570542,6.697981316066077e-05,5.791578012737741e-06
3185,0.000536827,0.0005713343206272223,3.1565418046210462e-09,1.4351387359156465e-06,2.959334007199188e-06,3.87746478700701e-06,1.7796737831095078e-06,0.00040219404727951736,6.482893974301081e-05,5.65767039971778e-06
3180,0.000517016,0.0005490059901734278,3.2529144628116577e-09,1.4830541389572547e-06,3.0627429386892362e-06,4.04042162142775e-06,1.863031412238005e-06,0.00038620901698053665,6.277099787241237e-05,5.528267702977177e-06
3175,0.00051046,0.0005266760244837241,3.3537660472995114e-09,1.5334096431950255e-06,3.171659736357252e-06,4.213867907522558e-06,1.9523811218397707e-06,0.00037006478942082507,6.080130998015734e-05,5.403173975406626e-06
3170,0.000500792,0.0005045868707394388,3.4593782725445888e-09,1.586373772711846e-06,3.2864819709124165e-06,4.398723301399026e-06,2.048310817338358e-06,0.00035395272047263635,5.8915437982058256e-05,5.282203591311861e-06
